,text,file_name
0,0,numbers1\volleyball_numbers\0\TV_data_010437_1795example.jpg
1,0,numbers1\volleyball_numbers\0\TV_data_078278_11125example.jpg
2,0,numbers1\volleyball_numbers\0\TV_data_104232_408example.jpg
3,1,numbers1\volleyball_numbers\1\TV_data_000251_9475example.jpg
4,1,numbers1\volleyball_numbers\1\TV_data_000275_5345example.jpg
5,1,numbers1\volleyball_numbers\1\TV_data_000312_4424example.jpg
6,1,numbers1\volleyball_numbers\1\TV_data_000386_19260example.jpg
7,1,numbers1\volleyball_numbers\1\TV_data_000401_18039example.jpg
8,1,numbers1\volleyball_numbers\1\TV_data_000408_5690example.jpg
9,1,numbers1\volleyball_numbers\1\TV_data_000452_18423example.jpg
10,1,numbers1\volleyball_numbers\1\TV_data_000486_6003example.jpg
11,1,numbers1\volleyball_numbers\1\TV_data_000510_8663example.jpg
12,1,numbers1\volleyball_numbers\1\TV_data_000522_18440example.jpg
13,1,numbers1\volleyball_numbers\1\TV_data_000570_4778example.jpg
14,1,numbers1\volleyball_numbers\1\TV_data_000589_6140example.jpg
15,1,numbers1\volleyball_numbers\1\TV_data_000597_18214example.jpg
16,1,numbers1\volleyball_numbers\1\TV_data_000624_18246example.jpg
17,1,numbers1\volleyball_numbers\1\TV_data_000660_6190example.jpg
18,1,numbers1\volleyball_numbers\1\TV_data_000758_16126example.jpg
19,1,numbers1\volleyball_numbers\1\TV_data_000759_5139example.jpg
20,1,numbers1\volleyball_numbers\1\TV_data_000769_6298example.jpg
21,1,numbers1\volleyball_numbers\1\TV_data_000789_5851example.jpg
22,1,numbers1\volleyball_numbers\1\TV_data_001034_4575example.jpg
23,1,numbers1\volleyball_numbers\1\TV_data_001180_19451example.jpg
24,1,numbers1\volleyball_numbers\1\TV_data_001200_5308example.jpg
25,1,numbers1\volleyball_numbers\1\TV_data_001201_4955example.jpg
26,1,numbers1\volleyball_numbers\1\TV_data_001308_5496example.jpg
27,1,numbers1\volleyball_numbers\1\TV_data_001362_18160example.jpg
